date,equipe_dom,score_dom,score_ext,equipe_ext,classement_dom,classement_ext
10 avril 2018 Saison régulière,Milwaukee Bucks,,,Orlando Magic,,
10 avril 2018 Saison régulière,Minnesota Timberwolves,,,Memphis Grizzlies,,
10 avril 2018 Saison régulière,San Antonio Spurs,,,Sacramento Kings,,
10 avril 2018 Saison régulière,Denver Nuggets,,,Portland Trail Blazers,,
10 avril 2018 Saison régulière,LA Clippers,,,New Orleans Pelicans,,
9 avril 2018 Saison régulière,Toronto Raptors,,,Orlando Magic,,
9 avril 2018 Saison régulière,LA Lakers,,,Utah Jazz,,
9 avril 2018 Saison régulière,Boston Celtics,,,Atlanta Hawks,,
9 avril 2018 Saison régulière,Phoenix Suns,,,Golden State Warriors,,
8 avril 2018 Saison régulière,New York Knicks,,,Milwaukee Bucks,,
8 avril 2018 Saison régulière,Chicago Bulls,,,Brooklyn Nets,,
8 avril 2018 Saison régulière,Golden State Warriors,,,New Orleans Pelicans,,
8 avril 2018 Saison régulière,Houston Rockets,,,Oklahoma City Thunder,,
8 avril 2018 Saison régulière,San Antonio Spurs,,,Portland Trail Blazers,,
8 avril 2018 Saison régulière,Philadelphia 76ers,,,Dallas Mavericks,,
8 avril 2018 Saison régulière,Charlotte Hornets,,,Indiana Pacers,,
8 avril 2018 Saison régulière,Memphis Grizzlies,,,Detroit Pistons,,
7 avril 2018 Saison régulière,Detroit Pistons,,,Dallas Mavericks,,
7 avril 2018 Saison régulière,Orlando Magic,,,Charlotte Hornets,,
7 avril 2018 Saison régulière,Philadelphia 76ers,,,Cleveland Cavaliers,,
7 avril 2018 Saison régulière,Washington Wizards,,,Atlanta Hawks,,
7 avril 2018 Saison régulière,Toronto Raptors,,,Indiana Pacers,,
7 avril 2018 Saison régulière,Boston Celtics,,,Chicago Bulls,,
7 avril 2018 Saison régulière,New York Knicks,,,Miami Heat,,
7 avril 2018 Saison régulière,Memphis Grizzlies,,,Sacramento Kings,,
